"","YEAR","MM","DD","CLRSKY_KT","sd"
"122",2001,5,2,0.742,0.0618061485614498
"123",2001,5,3,0.738,0.095236547606473
"124",2001,5,4,0.76,0.0651920240520265
"125",2001,5,5,0.762,0.0729383301152419
"126",2001,5,6,0.738,0.0906642156531451
"127",2001,5,7,0.764,0.0730068489937759
"128",2001,5,8,0.77,0.0754983443527075
"129",2001,5,9,0.784,0.0403732584763727
"130",2001,5,10,0.762,0.085848704125339
"131",2001,5,11,0.776,0.0507937003968012
"132",2001,5,12,0.774,0.0709224929059886
"133",2001,5,13,0.744,0.0716240183178799
"134",2001,5,14,0.72,0.0966953980290686
"135",2001,5,15,0.718,0.0978263768111648
"136",2001,5,16,0.75,0.0620483682299543
"137",2001,5,17,0.776,0.0502991053598372
"138",2001,5,18,0.782,0.0576194411635517
"139",2001,5,19,0.78,0.0620483682299543
"140",2001,5,20,0.768,0.0672309452558864
"141",2001,5,21,0.766,0.0654217089351845
"142",2001,5,22,0.736,0.0763544366752843
"143",2001,5,23,0.72,0.107004672795163
"144",2001,5,24,0.736,0.104307238483242
"145",2001,5,25,0.736,0.0876356092008266
"146",2001,5,26,0.744,0.0726636084983398
"147",2001,5,27,0.758,0.0729383301152419
"148",2001,5,28,0.756,0.0694982014155762
"149",2001,5,29,0.754,0.0563914887194867
"150",2001,5,30,0.758,0.0661059755241537
"151",2001,5,31,0.764,0.0541294744108974
"152",2001,6,1,0.76,0.0620483682299543
"153",2001,6,2,0.738,0.0622093240599832
"154",2001,6,3,0.724,0.0661815684310972
"155",2001,6,4,0.746,0.0638748776906853
"156",2001,6,5,0.702,0.117770964163498
"157",2001,6,6,0.724,0.0861974477580398
"158",2001,6,7,0.748,0.0704982269280583
"159",2001,6,8,0.75,0.0707106781186548
"160",2001,6,9,0.756,0.0512835256198323
"161",2001,6,10,0.73,0.0731436941916389
"162",2001,6,11,0.74,0.0674536878161602
"163",2001,6,12,0.754,0.0568330889535313
"164",2001,6,13,0.78,0.0244948974278318
"165",2001,6,14,0.73,0.0758287544405155
"166",2001,6,15,0.726,0.0730068489937759
"167",2001,6,16,0.73,0.0644204936336256
"168",2001,6,17,0.742,0.0653452370108182
"169",2001,6,18,0.752,0.0460434577328854
"170",2001,6,19,0.748,0.0506951674225463
"171",2001,6,20,0.762,0.0576194411635517
"172",2001,6,21,0.768,0.0580517010948
"173",2001,6,22,0.776,0.0384707681233427
"174",2001,6,23,0.76,0.05
"175",2001,6,24,0.758,0.0540370243444252
"176",2001,6,25,0.764,0.0397492138287036
"177",2001,6,26,0.752,0.0496990945591568
"178",2001,6,27,0.76,0.0570087712549569
"179",2001,6,28,0.77,0.0543139024560011
"180",2001,6,29,0.78,0.0741619848709566
"181",2001,6,30,0.786,0.0559464029227975
"182",2001,7,1,0.768,0.0589067059000926
"183",2001,7,2,0.782,0.0580517010948
"184",2001,7,3,0.79,0.0524404424085076
"185",2001,7,4,0.766,0.0502991053598372
"186",2001,7,5,0.744,0.0618869937870632
"187",2001,7,6,0.726,0.0736885337077622
"188",2001,7,7,0.722,0.0816700679563817
"189",2001,7,8,0.716,0.0820365772079748
"190",2001,7,9,0.72,0.0777817459305203
"191",2001,7,10,0.73,0.0681909084849293
"192",2001,7,11,0.758,0.0460434577328854
"193",2001,7,12,0.756,0.0439317652729776
"194",2001,7,13,0.746,0.0673052746818554
"195",2001,7,14,0.75,0.0604152298679729
"196",2001,7,15,0.726,0.089888820216977
"197",2001,7,16,0.72,0.0868907359849139
"198",2001,7,17,0.738,0.0630079360080935
"199",2001,7,18,0.712,0.084970583144992
"200",2001,7,19,0.728,0.0664830805543787
"201",2001,7,20,0.754,0.0541294744108975
"202",2001,7,21,0.758,0.0501996015920445
"203",2001,7,22,0.758,0.0476445169982864
"204",2001,7,23,0.73,0.0570087712549569
"205",2001,7,24,0.724,0.0602494813255683
"206",2001,7,25,0.726,0.0598331012066064
"207",2001,7,26,0.73,0.0595818764390649
"208",2001,7,27,0.74,0.0552268050859363
"209",2001,7,28,0.74,0.0608276253029822
"210",2001,7,29,0.75,0.0519615242270663
"211",2001,7,30,0.752,0.0544977063737549
"212",2001,7,31,0.748,0.0601664358259653
"213",2001,8,1,0.758,0.0389871773792359
"214",2001,8,2,0.764,0.0270185121722126
"215",2001,8,3,0.748,0.0443846820423443
"216",2001,8,4,0.742,0.0486826457785524
"217",2001,8,5,0.732,0.0683373982530796
"218",2001,8,6,0.748,0.0396232255123179
"219",2001,8,7,0.738,0.0549545266561364
"220",2001,8,8,0.73,0.0796868872525462
"221",2001,8,9,0.724,0.0779743547584717
